TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,ORIGINAL CUR,BILLING GROSS AMT,BILLING CUR CODE,TRANS TAX RATE,TRANS TAX AMT,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,DIRECTORATE,TRANS_DATE_YM,TRANS_DATE_Y,TRANS_DATE_M,TRANS_DATE_D
2018-07-12,VR,60.0,GBP,60.0,GBP,20.0,10.0,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,12
2018-07-12,VR,66.73,GBP,66.73,GBP,20.0,11.12,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,12
2018-07-05,VR,68.0,GBP,68.0,GBP,20.0,11.33,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,05
2018-07-31,VR,77.0,GBP,77.0,GBP,20.0,12.83,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-25,VR,57.0,GBP,57.0,GBP,20.0,9.5,malthurst limited,************3668,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,25
2018-07-16,VR,25.6,GBP,25.6,GBP,20.0,4.27,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,16
2018-07-06,VR,37.79,GBP,37.79,GBP,20.0,6.3,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-07-27,VR,45.98,GBP,45.98,GBP,20.0,7.66,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,27
2018-07-20,VR,29.54,GBP,29.54,GBP,20.0,4.92,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,20
2018-07-19,VR,17.98,GBP,17.98,GBP,20.0,3.0,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-19,VR,65.77,GBP,65.77,GBP,20.0,10.96,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-13,VR,61.37,GBP,61.37,GBP,20.0,10.23,weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-09,VR,67.41,GBP,67.41,GBP,20.0,11.24,weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-05,VR,71.47,GBP,71.47,GBP,20.0,11.91,weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,05
2018-07-30,VZ,78.65,GBP,78.65,GBP,0.0,0.0,weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,30
2018-07-23,VZ,68.71,GBP,68.71,GBP,0.0,0.0,weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-11,VR,58.86,GBP,58.86,GBP,20.0,9.81,shell kings 587,************4679,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,11
2018-07-06,VR,57.44,GBP,57.44,GBP,20.0,9.57,shell kings 587,************4679,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-08-01,VR,32.73,GBP,32.73,GBP,20.0,5.46,shell kings 587,************4679,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-31,VR,33.61,GBP,33.61,GBP,20.0,5.6,shell kings 587,************4679,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-26,VR,54.01,GBP,54.01,GBP,20.0,9.0,shell kings 587,************4679,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,26
2018-07-11,VR,58.38,GBP,58.38,GBP,20.0,9.73,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,11
2018-07-11,VR,59.0,GBP,59.0,GBP,20.0,9.83,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,11
2018-07-06,VR,69.0,GBP,69.0,GBP,20.0,11.5,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-07-05,VR,66.46,GBP,66.46,GBP,20.0,11.08,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,05
2018-07-30,VR,83.86,GBP,83.86,GBP,20.0,0.0,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,30
2018-07-27,VR,63.01,GBP,63.01,GBP,20.0,0.0,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,27
2018-07-27,VR,76.89,GBP,76.89,GBP,20.0,0.0,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,27
2018-07-20,VR,58.0,GBP,58.0,GBP,20.0,9.67,weoley castle,************5465,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,20
2018-07-03,VR,69.62,GBP,69.62,GBP,20.0,11.6,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,03
2018-07-31,VR,70.49,GBP,70.49,GBP,20.0,11.75,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-24,VR,47.21,GBP,47.21,GBP,20.0,7.87,malthurst limited,************5471,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,24
2018-07-11,VZ,47.94,GBP,47.94,GBP,0.0,0.0,amazon uk marketplace,************4094,L120,Equip Other,RV413,Bharosa-Asian Womens Helpline,A00,Adult Social Care and Health,2018-07,2018,07,11
2018-07-10,VZ,72.63,GBP,72.63,GBP,0.0,0.0,amazon uk marketplace,************4094,L120,Equip Other,RV3BL,Operational Manager Adults South 1,A00,Adult Social Care and Health,2018-07,2018,07,10
2018-07-09,VR,60.0,GBP,60.0,GBP,20.0,10.0,bluebadgebirminghamcc,************4094,K050,Vehicle Excise Lics,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-04,VR,102.5,GBP,102.5,GBP,20.0,17.08,shared lives plus limi,************4094,MC70,Supplies & Sev Mic,RV3GT,Adult Placements,A00,Adult Social Care and Health,2018-07,2018,07,04
2018-08-01,VR,85.79,GBP,85.79,GBP,20.0,0.0,weoley castle,************1969,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-19,VR,68.26,GBP,68.26,GBP,20.0,11.38,weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-12,VR,60.71,GBP,60.71,GBP,20.0,10.12,weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,12
2018-07-04,VR,59.49,GBP,59.49,GBP,20.0,9.92,weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,04
2018-08-02,VR,59.98,GBP,59.98,GBP,20.0,0.0,weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,02
2018-07-24,VR,54.49,GBP,54.49,GBP,20.0,0.0,weoley castle,************8657,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,24
2018-07-19,VR,51.89,GBP,51.89,GBP,20.0,8.65,applegreen hall green,************0788,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,19
2018-07-09,VR,68.55,GBP,68.55,GBP,20.0,11.43,motor fuels ltd,************0788,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-08-01,VR,60.34,GBP,60.34,GBP,20.0,10.06,falcon service stations m,************0788,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-26,VR,67.43,GBP,67.43,GBP,20.0,11.24,rontec wythall,************0788,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,26
2018-07-25,VR,65.29,GBP,65.29,GBP,20.0,10.88,greenhill garage,************0788,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,25
2018-07-26,VR,34.0,GBP,34.0,GBP,20.0,5.67,motor fuels ltd,************6299,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,26
2018-07-13,VR,57.21,GBP,57.21,GBP,20.0,9.54,acocks green 224,************6398,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-06,VR,60.24,GBP,60.24,GBP,20.0,10.04,acocks green 224,************6398,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-08-01,VR,42.48,GBP,42.48,GBP,20.0,7.08,acocks green 224,************6398,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-23,VR,42.75,GBP,42.75,GBP,20.0,7.13,shell kings 587,************6398,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-16,VR,34.95,GBP,34.95,GBP,20.0,5.83,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,16
2018-07-16,VR,50.06,GBP,50.06,GBP,20.0,8.34,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,16
2018-07-16,VR,47.32,GBP,47.32,GBP,20.0,7.89,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,16
2018-07-09,VR,37.17,GBP,37.17,GBP,20.0,6.2,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-09,VR,41.77,GBP,41.77,GBP,20.0,6.96,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-09,VR,46.19,GBP,46.19,GBP,20.0,7.7,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-30,VR,47.9,GBP,47.9,GBP,20.0,7.98,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,30
2018-07-30,VR,20.9,GBP,20.9,GBP,20.0,3.48,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,30
2018-07-30,VR,23.71,GBP,23.71,GBP,20.0,3.95,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,30
2018-07-23,VR,57.94,GBP,57.94,GBP,20.0,9.66,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-23,VR,54.27,GBP,54.27,GBP,20.0,9.05,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-23,VR,67.04,GBP,67.04,GBP,20.0,11.17,w m morrison plc,************8985,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-13,VR,74.98,GBP,74.98,GBP,20.0,12.5,shell kings 587,************7966,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-26,VR,68.57,GBP,68.57,GBP,20.0,11.43,acocks green 224,************7966,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,26
2018-07-13,VR,38.91,GBP,38.91,GBP,20.0,6.49,penns lane sf connect,************4993,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-20,VR,53.23,GBP,53.23,GBP,20.0,8.87,penns lane sf connect,************4993,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,20
2018-07-11,VR,83.49,GBP,83.49,GBP,20.0,13.92,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,11
2018-07-10,VR,73.51,GBP,73.51,GBP,20.0,12.25,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,10
2018-07-04,VR,71.25,GBP,71.25,GBP,20.0,11.88,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,04
2018-07-04,VR,77.15,GBP,77.15,GBP,20.0,12.86,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,04
2018-07-04,VR,74.2,GBP,74.2,GBP,20.0,12.37,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,04
2018-07-03,VR,71.26,GBP,71.26,GBP,20.0,11.88,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,03
2018-08-01,VR,77.21,GBP,77.21,GBP,20.0,12.87,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-31,VR,60.45,GBP,60.45,GBP,20.0,10.08,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-31,VR,68.67,GBP,68.67,GBP,20.0,11.45,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,31
2018-07-23,VR,75.04,GBP,75.04,GBP,20.0,12.51,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-23,VR,87.96,GBP,87.96,GBP,20.0,14.66,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-23,VR,66.99,GBP,66.99,GBP,20.0,11.17,mrh six ways,************0156,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-06,VR,83.06,GBP,83.06,GBP,20.0,13.84,weoley castle,************4596,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,06
2018-07-20,VR,84.52,GBP,84.52,GBP,20.0,14.09,weoley castle,************4596,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,20
2018-07-18,VR,58.56,GBP,58.56,GBP,20.0,9.76,rontec moseley,************6265,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,18
2018-07-13,VR,48.97,GBP,48.97,GBP,20.0,8.16,rontec moseley,************6265,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,13
2018-07-09,VR,59.06,GBP,59.06,GBP,20.0,9.84,rontec moseley,************6265,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,09
2018-07-05,VR,71.98,GBP,71.98,GBP,20.0,12.0,rontec moseley,************6265,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,05
2018-08-01,VR,63.34,GBP,63.34,GBP,20.0,10.56,rontec moseley,************6265,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-17,VR,63.21,GBP,63.21,GBP,20.0,10.54,rontec moseley,************6225,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,17
2018-08-01,VR,48.28,GBP,48.28,GBP,20.0,8.05,shell kings 587,************6225,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
2018-07-23,VR,64.32,GBP,64.32,GBP,20.0,10.72,rontec moseley,************6225,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,23
2018-07-20,VR,48.83,GBP,48.83,GBP,20.0,8.14,shell kings 587,************6225,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,20
2018-07-25,VR,48.58,GBP,48.58,GBP,20.0,8.1,w m morrison plc,************1910,K020,Vehicle Fuel,RV18R,Alderman Bowen Dc (Ld),A00,Adult Social Care and Health,2018-07,2018,07,25
2018-07-03,VR,81.0,GBP,81.0,GBP,20.0,13.5,malthurst limited,************3050,K020,Vehicle Fuel,RV16B,The Fairway Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,03
2018-07-03,VR,60.31,GBP,60.31,GBP,20.0,10.05,malthurst limited,************3050,K020,Vehicle Fuel,RV16B,The Fairway Day Centre,A00,Adult Social Care and Health,2018-07,2018,07,03
2018-08-02,VR,76.01,GBP,76.01,GBP,20.0,12.67,malthurst limited,************3050,K020,Vehicle Fuel,RV16B,The Fairway Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,02
2018-08-01,VR,77.0,GBP,77.0,GBP,20.0,12.83,malthurst limited,************3050,K020,Vehicle Fuel,RV16B,The Fairway Day Centre,A00,Adult Social Care and Health,2018-08,2018,08,01
